State,STATION,LATITUDE,LONGITUDE,ELEVATION,DATE,MLY-PRCP-75PCTL,MLY-SNOW-75PCTL,MLY-TAVG-NORMAL,MLY-TMAX-AVGNDS-GRTH090,MLY-TMAX-AVGNDS-LSTH032
NC,USC00310090,35.3992,-80.1994,185.9,3,5.98,0,50.6,0,0.1
NC,USC00310090,35.3992,-80.1994,185.9,4,4.35,0,58.9,0,0
NC,USC00310090,35.3992,-80.1994,185.9,5,4.94,0,67.3,0.9,0
NC,USC00310090,35.3992,-80.1994,185.9,6,6.28,0,75.5,7.4,0
NC,USC00310090,35.3992,-80.1994,185.9,7,6.43,0,78.8,12.4,0
NC,USC00310090,35.3992,-80.1994,185.9,8,6.22,0,77.6,9.4,0
NC,USC00310090,35.3992,-80.1994,185.9,9,6.2,0,70.9,2.4,0
NC,USC00310090,35.3992,-80.1994,185.9,10,4.54,0,60.6,0.2,0
NC,USC00310090,35.3992,-80.1994,185.9,11,4.83,0,51.1,0,0
NC,USC00310090,35.3992,-80.1994,185.9,12,3.88,0,42.6,0,0.4
OR,USC00360022,40.5361,-79.8152,228,1,4.08,,,,
OR,USC00360022,40.5361,-79.8152,228,2,3.39,,,,
OR,USC00360022,40.5361,-79.8152,228,3,4.29,,,,
OR,USC00360022,40.5361,-79.8152,228,4,4.33,,,,
OR,USC00360022,40.5361,-79.8152,228,5,5.08,,,,
OR,USC00360022,40.5361,-79.8152,228,6,4.74,,,,
OR,USC00360022,40.5361,-79.8152,228,7,4.78,,,,
OR,USC00360022,40.5361,-79.8152,228,8,4.75,,,,
OR,USC00360022,40.5361,-79.8152,228,9,4.37,,,,
OR,USC00360022,40.5361,-79.8152,228,10,2.99,,,,
OR,USC00360022,40.5361,-79.8152,228,11,4.1,,,,
OR,USC00360022,40.5361,-79.8152,228,12,3.91,,,,
GE,USC00090010,31.938,-83.3077,73.2,1,6.04,0,47,0,0
GE,USC00090010,31.938,-83.3077,73.2,2,5.58,0,50.2,0,0
GE,USC00090010,31.938,-83.3077,73.2,3,7.06,0,56.2,0,0
GE,USC00090010,31.938,-83.3077,73.2,4,4.93,0,63.6,0,0
GE,USC00090010,31.938,-83.3077,73.2,5,3.22,0,71.6,4.2,0
GE,USC00090010,31.938,-83.3077,73.2,6,5.56,0,78.4,14.5,0
GE,USC00090010,31.938,-83.3077,73.2,7,4.63,0,81.1,22.7,0
GE,USC00090010,31.938,-83.3077,73.2,8,5.35,0,80.2,19.9,0
GE,USC00090010,31.938,-83.3077,73.2,9,5,0,74.8,8.5,0
GE,USC00090010,31.938,-83.3077,73.2,10,3.37,0,65.5,0.2,0
GE,USC00090010,31.938,-83.3077,73.2,11,4.2,0,56.2,0,0
GE,USC00090010,31.938,-83.3077,73.2,12,4.37,0,49.1,0,0.1
TN,USC00400049,35.7977,-89.1176,100.6,1,,,36.3,0,5.4
TN,USC00400049,35.7977,-89.1176,100.6,2,,,40.2,0,1.2
TN,USC00400049,35.7977,-89.1176,100.6,3,,,49.2,0,0.3
TN,USC00400049,35.7977,-89.1176,100.6,4,,,59.6,0,0
TN,USC00400049,35.7977,-89.1176,100.6,5,,,68.6,0.1,0
TN,USC00400049,35.7977,-89.1176,100.6,6,,,76.4,7.7,0
TN,USC00400049,35.7977,-89.1176,100.6,7,,,79.6,14.4,0
TN,USC00400049,35.7977,-89.1176,100.6,8,,,78.4,14,0
TN,USC00400049,35.7977,-89.1176,100.6,9,,,71.1,4,0
TN,USC00400049,35.7977,-89.1176,100.6,10,,,60.3,0,0
TN,USC00400049,35.7977,-89.1176,100.6,11,,,49.8,0,0
TN,USC00400049,35.7977,-89.1176,100.6,12,,,39.5,0,1.5
FL,USW00012832,29.73333,-85.03333,5.8,1,6.01,0,52.4,0,0
FL,USW00012832,29.73333,-85.03333,5.8,2,5.51,0,55.3,0,0
FL,USW00012832,29.73333,-85.03333,5.8,3,6.22,0,60.4,0,0
FL,USW00012832,29.73333,-85.03333,5.8,4,3.77,0,66.5,0.1,0
FL,USW00012832,29.73333,-85.03333,5.8,5,2.92,0,74.3,2.4,0
FL,USW00012832,29.73333,-85.03333,5.8,6,6.66,0,80.2,11.4,0
FL,USW00012832,29.73333,-85.03333,5.8,7,9.59,0,82.1,17.7,0
FL,USW00012832,29.73333,-85.03333,5.8,8,11.1,0,81.7,15.6,0
FL,USW00012832,29.73333,-85.03333,5.8,9,9.3,0,79,7,0
FL,USW00012832,29.73333,-85.03333,5.8,10,6.88,0,70.7,0.7,0
FL,USW00012832,29.73333,-85.03333,5.8,11,5.18,0,62,0,0
FL,USW00012832,29.73333,-85.03333,5.8,12,4.91,0,55.1,0,-7777
AZ,USC00020060,33.9433,-113.1875,659.9,1,1.37,0,49,0,0
AZ,USC00020060,33.9433,-113.1875,659.9,2,1.28,0,51.2,0,0
AZ,USC00020060,33.9433,-113.1875,659.9,3,1.25,0,56,0.4,0
AZ,USC00020060,33.9433,-113.1875,659.9,4,0.28,0,62.5,4.3,0
AZ,USC00020060,33.9433,-113.1875,659.9,5,0.07,0,71.5,15.5,0
AZ,USC00020060,33.9433,-113.1875,659.9,6,0.09,0,79.9,26.8,0
AZ,USC00020060,33.9433,-113.1875,659.9,7,1.26,0,86.1,30,0
AZ,USC00020060,33.9433,-113.1875,659.9,8,1.71,0,85.3,29.3,0
AZ,USC00020060,33.9433,-113.1875,659.9,9,1.25,0,78.6,23.6,0
AZ,USC00020060,33.9433,-113.1875,659.9,10,1.39,0,66.9,7.5,0
AZ,USC00020060,33.9433,-113.1875,659.9,11,0.69,0,55.5,0.2,0
AZ,USC00020060,33.9433,-113.1875,659.9,12,1.5,0,47.8,0,0
RI,USW00094793,41.16806,-71.57778,32,1,5.1,,32.6,0,6.2
RI,USW00094793,41.16806,-71.57778,32,2,4.02,,33.7,0,2.2
RI,USW00094793,41.16806,-71.57778,32,3,5.09,,38.2,0,0.9
RI,USW00094793,41.16806,-71.57778,32,4,5.13,,46.7,0,0.1
RI,USW00094793,41.16806,-71.57778,32,5,4.83,,55.1,0,0
RI,USW00094793,41.16806,-71.57778,32,6,5.76,,64.8,0,0
RI,USW00094793,41.16806,-71.57778,32,7,3.82,,70.2,0.2,0
RI,USW00094793,41.16806,-71.57778,32,8,3.96,,70,0.1,0
RI,USW00094793,41.16806,-71.57778,32,9,5.03,,64.7,0,0
RI,USW00094793,41.16806,-71.57778,32,10,4.64,,55.5,0,0
RI,USW00094793,41.16806,-71.57778,32,11,5.58,,47.4,0,0.1
RI,USW00094793,41.16806,-71.57778,32,12,5.2,,37.6,0,2.7
AK,USC00030006,35.0237,-94.1594,207.3,1,4.11,1.7,,,
AK,USC00030006,35.0237,-94.1594,207.3,2,3.97,1.5,,,
AK,USC00030006,35.0237,-94.1594,207.3,3,5.15,0,,,
AK,USC00030006,35.0237,-94.1594,207.3,4,6.37,0,,,
AK,USC00030006,35.0237,-94.1594,207.3,5,8.25,0,,,
AK,USC00030006,35.0237,-94.1594,207.3,6,6.22,0,,,
AK,USC00030006,35.0237,-94.1594,207.3,7,5.15,0,,,
AK,USC00030006,35.0237,-94.1594,207.3,8,3.64,0,,,
AK,USC00030006,35.0237,-94.1594,207.3,9,5.93,0,,,
AK,USC00030006,35.0237,-94.1594,207.3,10,6.57,0,,,
AK,USC00030006,35.0237,-94.1594,207.3,11,7,0,,,
AK,USC00030006,35.0237,-94.1594,207.3,12,4.83,0.5,,,
LA,USC00160007,29.9688,-92.1169,3,1,5.64,0,,,
LA,USC00160007,29.9688,-92.1169,3,2,6.37,0,,,
LA,USC00160007,29.9688,-92.1169,3,3,5.79,0,,,
LA,USC00160007,29.9688,-92.1169,3,4,5.27,0,,,
LA,USC00160007,29.9688,-92.1169,3,5,6.47,0,,,
LA,USC00160007,29.9688,-92.1169,3,6,11.79,0,,,
LA,USC00160007,29.9688,-92.1169,3,7,7.35,0,,,
LA,USC00160007,29.9688,-92.1169,3,8,8.19,0,,,
LA,USC00160007,29.9688,-92.1169,3,9,7.69,0,,,
LA,USC00160007,29.9688,-92.1169,3,10,6.93,0,,,
LA,USC00160007,29.9688,-92.1169,3,11,4.37,0,,,
LA,USC00160007,29.9688,-92.1169,3,12,5.77,0,,,
KA,USC00140010,38.9266,-97.2129,361.8,1,1.02,6.3,31.3,0,7
KA,USC00140010,38.9266,-97.2129,361.8,2,1.8,4.9,36.3,0,3.9
KA,USC00140010,38.9266,-97.2129,361.8,3,3.21,1.9,45.5,0,0.9
KA,USC00140010,38.9266,-97.2129,361.8,4,3.59,0,56.1,0.5,0
KA,USC00140010,38.9266,-97.2129,361.8,5,6.26,0,66.8,2.2,0
KA,USC00140010,38.9266,-97.2129,361.8,6,5.61,0,76.5,11.5,0
KA,USC00140010,38.9266,-97.2129,361.8,7,5.71,0,82,21.3,0
KA,USC00140010,38.9266,-97.2129,361.8,8,5.41,0,79.9,18.3,0
KA,USC00140010,38.9266,-97.2129,361.8,9,3.54,0,70.8,7,0
KA,USC00140010,38.9266,-97.2129,361.8,10,3.48,0,58.1,0.5,0
KA,USC00140010,38.9266,-97.2129,361.8,11,1.58,0,44.9,0,0.8
KA,USC00140010,38.9266,-97.2129,361.8,12,1.6,3.3,33.2,0,5.3
KN,USC00150012,37.2318,-86.6866,149.4,1,5.38,3,,,
KN,USC00150012,37.2318,-86.6866,149.4,2,5.3,7.1,,,
KN,USC00150012,37.2318,-86.6866,149.4,3,5.32,0.5,,,
KN,USC00150012,37.2318,-86.6866,149.4,4,5.84,0,,,
KN,USC00150012,37.2318,-86.6866,149.4,5,6.49,0,,,
KN,USC00150012,37.2318,-86.6866,149.4,6,5.63,0,,,
KN,USC00150012,37.2318,-86.6866,149.4,7,5.87,0,,,
KN,USC00150012,37.2318,-86.6866,149.4,8,4.33,0,,,
KN,USC00150012,37.2318,-86.6866,149.4,9,5.59,0,,,
KN,USC00150012,37.2318,-86.6866,149.4,10,5.17,0,,,
KN,USC00150012,37.2318,-86.6866,149.4,11,5.43,0,,,
KN,USC00150012,37.2318,-86.6866,149.4,12,7.21,0.9,,,
NH,USC00470045,42.6475,-89.0644,226.2,1,1.82,14.8,19.7,0,18.6
NH,USC00470045,42.6475,-89.0644,226.2,2,1.89,11.4,23.8,0,12.6
NH,USC00470045,42.6475,-89.0644,226.2,3,2.63,5.9,35.2,0,4.1
NH,USC00470045,42.6475,-89.0644,226.2,4,4.15,2,47.5,0,0.1
NH,USC00470045,42.6475,-89.0644,226.2,5,5.09,0,58.7,0.4,0
NH,USC00470045,42.6475,-89.0644,226.2,6,5.86,0,68.5,2.2,0
NH,USC00470045,42.6475,-89.0644,226.2,7,4.61,0,72.4,4.6,0
NH,USC00470045,42.6475,-89.0644,226.2,8,4.93,0,70.4,2.7,0
NH,USC00470045,42.6475,-89.0644,226.2,9,3.79,0,62.2,0.5,0
NH,USC00470045,42.6475,-89.0644,226.2,10,4.15,0,49.9,0,0
NH,USC00470045,42.6475,-89.0644,226.2,11,3.39,1.9,37.4,0,3.4
NH,USC00470045,42.6475,-89.0644,226.2,12,2.33,12.6,23.5,0,15.1
NY,USC00300023,42.1013,-77.2344,304.5,1,2.52,19,23.1,0,15.3
NY,USC00300023,42.1013,-77.2344,304.5,2,2,11.5,25.9,0,9.8
NY,USC00300023,42.1013,-77.2344,304.5,3,2.95,13.5,33.1,0,4
NY,USC00300023,42.1013,-77.2344,304.5,4,3.61,1,45.1,0.1,0.2
NY,USC00300023,42.1013,-77.2344,304.5,5,4.62,0,55.4,0.2,0
NY,USC00300023,42.1013,-77.2344,304.5,6,5.04,0,64.1,0.9,0
NY,USC00300023,42.1013,-77.2344,304.5,7,5.26,0,68.3,1.8,0
NY,USC00300023,42.1013,-77.2344,304.5,8,3.87,0,66.9,1.7,0
NY,USC00300023,42.1013,-77.2344,304.5,9,4.03,0,59.9,0.4,0
NY,USC00300023,42.1013,-77.2344,304.5,10,4.42,0,48.6,0,0
NY,USC00300023,42.1013,-77.2344,304.5,11,3.19,3,39,0,1.5
NY,USC00300023,42.1013,-77.2344,304.5,12,2.44,13,28.4,0,11.3
WA,USC00450013,47.2613,-123.7147,132.6,1,26.07,6.3,39.2,0,0.4
WA,USC00450013,47.2613,-123.7147,132.6,2,18.99,3.2,40.5,0,0.1
WA,USC00450013,47.2613,-123.7147,132.6,3,16.35,1.1,43.7,0,0
WA,USC00450013,47.2613,-123.7147,132.6,4,11.72,0,47.1,0,0
WA,USC00450013,47.2613,-123.7147,132.6,5,8.39,0,52.6,0.1,0
WA,USC00450013,47.2613,-123.7147,132.6,6,5.2,0,57,0.3,0
WA,USC00450013,47.2613,-123.7147,132.6,7,3.21,0,61.5,0.5,0
WA,USC00450013,47.2613,-123.7147,132.6,8,3,0,62.1,0.4,0
WA,USC00450013,47.2613,-123.7147,132.6,9,6.41,0,57.8,-7777,0
WA,USC00450013,47.2613,-123.7147,132.6,10,15.77,0,49.9,0,0
WA,USC00450013,47.2613,-123.7147,132.6,11,23.67,0.4,42.7,0,0.2
WA,USC00450013,47.2613,-123.7147,132.6,12,25.35,1.5,37.6,0,0.8
AL,USC00010008,31.5702,-85.2482,139,1,5.95,0,,,
AL,USC00010008,31.5702,-85.2482,139,2,6.05,0,,,
AL,USC00010008,31.5702,-85.2482,139,3,7.94,0,,,
AL,USC00010008,31.5702,-85.2482,139,4,5.15,0,,,
AL,USC00010008,31.5702,-85.2482,139,5,5.17,0,,,
AL,USC00010008,31.5702,-85.2482,139,6,6.59,0,,,
AL,USC00010008,31.5702,-85.2482,139,7,7.45,0,,,
AL,USC00010008,31.5702,-85.2482,139,8,5.04,0,,,
AL,USC00010008,31.5702,-85.2482,139,9,3.86,0,,,
AL,USC00010008,31.5702,-85.2482,139,10,4.35,0,,,
AL,USC00010008,31.5702,-85.2482,139,11,5.61,0,,,
AL,USC00010008,31.5702,-85.2482,139,12,6.41,0,,,
MT,USC00240075,47.0036,-114.4781,932.7,1,,,26.7,0,10.1
MT,USC00240075,47.0036,-114.4781,932.7,2,,,30.4,0,2
MT,USC00240075,47.0036,-114.4781,932.7,3,,,38.7,0,0.6
MT,USC00240075,47.0036,-114.4781,932.7,4,,,45.7,0,0
MT,USC00240075,47.0036,-114.4781,932.7,5,,,53.2,0.2,0
MT,USC00240075,47.0036,-114.4781,932.7,6,,,60.6,1.3,0
MT,USC00240075,47.0036,-114.4781,932.7,7,,,67.7,9.7,0
MT,USC00240075,47.0036,-114.4781,932.7,8,,,66.9,10.3,0
MT,USC00240075,47.0036,-114.4781,932.7,9,,,57.4,2,0
MT,USC00240075,47.0036,-114.4781,932.7,10,,,45.4,0,0.2
MT,USC00240075,47.0036,-114.4781,932.7,11,,,33.4,0,4.5
MT,USC00240075,47.0036,-114.4781,932.7,12,,,24.9,0,14.4
WV,USC00460094,39.4881,-79.6369,371.6,1,4.24,,,,
WV,USC00460094,39.4881,-79.6369,371.6,2,3.85,,,,
WV,USC00460094,39.4881,-79.6369,371.6,3,4.58,,,,
WV,USC00460094,39.4881,-79.6369,371.6,4,4.51,,,,
WV,USC00460094,39.4881,-79.6369,371.6,5,5.2,,,,
WV,USC00460094,39.4881,-79.6369,371.6,6,5.69,,,,
WV,USC00460094,39.4881,-79.6369,371.6,7,6.74,,,,
WV,USC00460094,39.4881,-79.6369,371.6,8,4.98,,,,
WV,USC00460094,39.4881,-79.6369,371.6,9,4.49,,,,
WV,USC00460094,39.4881,-79.6369,371.6,10,3.95,,,,
WV,USC00460094,39.4881,-79.6369,371.6,11,4.23,,,,
WV,USC00460094,39.4881,-79.6369,371.6,12,4.04,,,,
CO,USC00050105,37.3169,-104.9504,2634.7,1,1.07,17.5,,,
CO,USC00050105,37.3169,-104.9504,2634.7,2,1.38,22,,,
CO,USC00050105,37.3169,-104.9504,2634.7,3,1.97,34.2,,,
CO,USC00050105,37.3169,-104.9504,2634.7,4,1.94,29,,,
CO,USC00050105,37.3169,-104.9504,2634.7,5,2.62,6.5,,,
CO,USC00050105,37.3169,-104.9504,2634.7,6,3.04,0,,,
CO,USC00050105,37.3169,-104.9504,2634.7,7,5.01,0,,,
CO,USC00050105,37.3169,-104.9504,2634.7,8,5.13,0,,,
CO,USC00050105,37.3169,-104.9504,2634.7,9,2.38,0,,,
CO,USC00050105,37.3169,-104.9504,2634.7,10,1.75,11,,,
CO,USC00050105,37.3169,-104.9504,2634.7,11,0.82,9.6,,,
CO,USC00050105,37.3169,-104.9504,2634.7,12,1.15,25.1,,,
DE,USC00071200,39.5917,-75.7325,24.4,1,,,31.4,0,8.2
DE,USC00071200,39.5917,-75.7325,24.4,2,,,34.4,0,2.6
DE,USC00071200,39.5917,-75.7325,24.4,3,,,42.1,0,0.7
DE,USC00071200,39.5917,-75.7325,24.4,4,,,52.5,0.1,0
DE,USC00071200,39.5917,-75.7325,24.4,5,,,61.8,0.1,0
DE,USC00071200,39.5917,-75.7325,24.4,6,,,71.5,3.4,0
DE,USC00071200,39.5917,-75.7325,24.4,7,,,76,6.1,0
DE,USC00071200,39.5917,-75.7325,24.4,8,,,74.5,4.6,0
DE,USC00071200,39.5917,-75.7325,24.4,9,,,66.5,1,0
DE,USC00071200,39.5917,-75.7325,24.4,10,,,54.9,0,0
DE,USC00071200,39.5917,-75.7325,24.4,11,,,45.3,0,0
DE,USC00071200,39.5917,-75.7325,24.4,12,,,35.8,0,2.5
NE,USC00250030,42.4244,-103.7347,1423.4,1,0.3,4.4,24.9,0,6.8
NE,USC00250030,42.4244,-103.7347,1423.4,2,0.48,7.6,27.5,0,5.1
NE,USC00250030,42.4244,-103.7347,1423.4,3,0.78,7.7,36.2,0,2.5
NE,USC00250030,42.4244,-103.7347,1423.4,4,2.09,7,44.7,0.1,0.4
NE,USC00250030,42.4244,-103.7347,1423.4,5,3.87,1.5,54.3,0.5,0
NE,USC00250030,42.4244,-103.7347,1423.4,6,3.48,0,63.6,4.5,0
NE,USC00250030,42.4244,-103.7347,1423.4,7,2.63,0,70.5,15,0
NE,USC00250030,42.4244,-103.7347,1423.4,8,1.94,0,69,12.7,0
NE,USC00250030,42.4244,-103.7347,1423.4,9,2.2,0,59.1,3.8,0
NE,USC00250030,42.4244,-103.7347,1423.4,10,1.87,2.2,46.1,0,0.5
NE,USC00250030,42.4244,-103.7347,1423.4,11,0.56,5.5,32.9,0,3.4
NE,USC00250030,42.4244,-103.7347,1423.4,12,0.29,5.6,23.6,0,8.3
PN,USC00320022,48.33,-98.1184,476.4,2,0.56,6,,,
PN,USC00320022,48.33,-98.1184,476.4,3,0.89,6.8,,,
PN,USC00320022,48.33,-98.1184,476.4,4,1.49,3,,,
PN,USC00320022,48.33,-98.1184,476.4,5,3.8,0,,,
PN,USC00320022,48.33,-98.1184,476.4,6,4.44,0,,,
PN,USC00320022,48.33,-98.1184,476.4,7,4.62,0,,,
