"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView.  Data presented from public health laboratories include the weekly total number of specimens tested, the number of positive influenza tests, and the number by influenza virus type, subtype, and influenza B lineage."
REGION TYPE,REGION,SEASON_DESCRIPTION,TOTAL SPECIMENS,A (2009 H1N1),A (H3),A (Subtyping not Performed),B,BVic,BYam,H3N2v
States,South Dakota,Season 2016-17,1275,22,479,16,16,64,206,0
States,Tennessee,Season 2016-17,2601,24,350,29,135,3,9,0
States,Texas,Season 2016-17,1713,49,397,5,51,35,115,0
States,Utah,Season 2016-17,1358,8,863,0,7,45,128,0
States,Vermont,Season 2016-17,371,3,233,0,51,0,2,0
States,Virginia,Season 2016-17,1662,17,677,1,31,26,138,0
States,Washington,Season 2016-17,1076,18,534,7,19,9,53,0
States,West Virginia,Season 2016-17,729,2,360,0,127,0,1,0
States,Wisconsin,Season 2016-17,4887,31,1011,11,6,86,261,0
States,Wyoming,Season 2016-17,839,2,273,3,12,1,29,0
States,Puerto Rico,Season 2016-17,642,2,411,0,19,52,24,0
States,Virgin Islands,Season 2016-17,X,X,X,X,X,X,X,X
States,New York City,Season 2016-17,X,X,X,X,X,X,X,X
States,Alabama,Season 2017-18,822,131,204,4,7,4,66,0
States,Alaska,Season 2017-18,3447,173,651,1,347,1,5,0
States,Arizona,Season 2017-18,3366,180,2055,0,8,197,720,0
States,Arkansas,Season 2017-18,413,21,101,0,19,0,43,0
States,California,Season 2017-18,15632,660,4665,195,702,281,1287,0
States,Colorado,Season 2017-18,1083,54,501,4,19,2,162,0
States,Connecticut,Season 2017-18,2259,161,887,0,1,47,423,0
States,Delaware,Season 2017-18,2818,163,382,6,24,100,206,0
States,District of Columbia,Season 2017-18,560,56,193,0,0,5,80,0
States,Florida,Season 2017-18,X,X,X,X,X,X,X,X
States,Georgia,Season 2017-18,2050,261,582,2,38,6,254,0
States,Hawaii,Season 2017-18,3277,101,1070,19,8,43,501,0
States,Idaho,Season 2017-18,1273,94,477,4,6,9,435,0
States,Illinois,Season 2017-18,3473,143,722,2,22,1,398,0
States,Indiana,Season 2017-18,1307,126,562,0,11,14,233,1
States,Iowa,Season 2017-18,2523,60,979,8,2,2,480,1
States,Kansas,Season 2017-18,213,23,52,1,21,2,15,0
States,Kentucky,Season 2017-18,1082,104,377,2,14,13,297,0
States,Louisiana,Season 2017-18,1993,135,305,3,60,2,113,0
States,Maine,Season 2017-18,1172,55,316,3,0,33,115,0
States,Maryland,Season 2017-18,6483,582,1887,2,10,131,752,0
